step,agent_0
10,90
20,82
30,80
40,88
50,84
60,74
70,64
80,54
90,44
100,34
110,24
120,14
130,4
140,94
150,88
160,80
170,70
180,60
190,50
200,40
210,30
220,20
230,12
240,4
250,8
260,6
270,96
280,86
290,84
300,82
310,88
320,82
330,86
340,76
350,66
360,56
370,46
380,36
390,38
400,34
410,32
420,28
430,22
440,16
450,6
460,2
470,2
480,92
490,82
500,72
510,62
520,52
530,42
540,32
550,22
560,12
570,2
580,96
590,86
600,76
610,76
620,66
630,56
640,46
650,36
660,26
670,22
680,12
690,2
700,102
710,100
720,106
730,100
740,104
750,114
760,112
770,104
780,106
790,110
800,104
810,102
820,112
830,122
840,130
850,128
860,126
870,136
880,136
890,132
900,136
910,144
920,144
930,134
940,130
950,136
960,134
970,126
980,132
990,142
1000,144
1010,134
1020,124
1030,118
1040,108
1050,98
1060,88
1070,78
1080,76
1090,66
1100,56
1110,60
1120,70
1130,64
1140,74
1150,74
1160,64
1170,54
1180,44
1190,38
1200,28
1210,36
1220,28
1230,26
1240,22
1250,32
1260,42
1270,36
1280,40
1290,30
1300,20
1310,10
1320,100
1330,90
1340,80
1350,70
1360,60
1370,50
1380,40
1390,30
1400,20
1410,10
1420,100
1430,90
1440,80
1450,70
1460,60
1470,50
1480,44
1490,34
1500,38
1510,34
1520,30
1530,24
1540,18
1550,24
1560,20
1570,10
1580,100
1590,92
1600,82
1610,74
1620,70
1630,60
1640,50
1650,40
1660,30
1670,20
1680,10
1690,2
1700,96
1710,88
1720,84
1730,88
1740,78
1750,70
1760,60
1770,58
1780,52
1790,54
1800,60
1810,64
1820,54
1830,44
1840,42
1850,32
1860,22
1870,12
1880,2
1890,96
1900,86
1910,76
1920,68
1930,58
1940,54
1950,54
1960,56
1970,50
1980,40
1990,30
2000,20
2010,10
2020,100
2030,90
2040,80
2050,70
2060,60
2070,50
2080,40
2090,30
2100,20
2110,10
2120,100
2130,100
2140,102
2150,112
2160,120
2170,128
2180,124
2190,118
2200,118
2210,122
2220,130
2230,126
2240,116
2250,112
2260,110
2270,110
2280,110
2290,114
2300,114
2310,118
2320,122
2330,112
2340,108
2350,112
2360,102
2370,92
2380,82
2390,72
2400,80
2410,88
2420,98
2430,98
2440,108
2450,102
2460,100
2470,90
2480,84
2490,78
2500,72
2510,78
2520,86
2530,92
2540,86
2550,94
2560,84
2570,74
2580,64
2590,64
2600,72
2610,80
2620,80
2630,82
2640,92
2650,94
2660,84
2670,74
2680,64
2690,54
2700,44
2710,34
2720,34
2730,34
2740,44
2750,38
2760,28
2770,22
2780,24
2790,24
2800,16
2810,6
2820,96
2830,86
2840,76
2850,66
2860,58
2870,60
2880,52
2890,56
2900,62
2910,56
2920,46
2930,36
2940,26
2950,18
2960,12
2970,2
2980,92
2990,82
3000,72
3010,70
3020,62
3030,64
3040,64
3050,72
3060,78
3070,84
3080,86
3090,76
3100,66
3110,56
3120,46
3130,38
3140,28
3150,18
3160,8
3170,102
3180,96
3190,86
3200,82
3210,72
3220,62
3230,52
3240,42
3250,32
3260,26
3270,20
3280,10
3290,16
3300,12
3310,4
3320,6
3330,4
3340,94
3350,84
3360,86
3370,92
3380,96
3390,104
3400,98
3410,88
3420,78
3430,68
3440,58
3450,50
3460,54
3470,58
3480,62
3490,62
3500,66
3510,68
3520,58
3530,48
3540,50
3550,40
3560,34
3570,42
3580,38
3590,36
3600,30
3610,22
3620,12
3630,10
3640,20
3650,28
3660,38
3670,40
3680,34
3690,28
3700,30
3710,32
3720,36
3730,26
3740,16
3750,6
3760,100
3770,102
3780,104
3790,106
3800,108
3810,112
3820,108
3830,98
3840,90
3850,96
3860,88
3870,78
3880,68
3890,58
3900,52
3910,58
3920,48
3930,38
3940,28
3950,18
3960,8
3970,98
3980,88
3990,78
4000,68
4010,58
4020,58
4030,48
4040,38
4050,30
4060,20
4070,10
4080,100
4090,90
4100,80
4110,70
4120,60
4130,50
4140,40
4150,30
4160,20
4170,10
4180,100
4190,100
4200,102
4210,100
4220,106
4230,108
4240,118
4250,128
4260,138
4270,144
4280,142
4290,132
4300,122
4310,118
4320,120
4330,114
4340,112
4350,104
4360,102
4370,94
4380,92
4390,98
4400,90
4410,98
4420,100
4430,94
4440,92
4450,84
4460,74
4470,64
4480,54
4490,44
4500,34
4510,24
4520,14
4530,4
4540,94
4550,84
4560,76
4570,76
4580,66
4590,56
4600,46
4610,36
4620,26
4630,16
4640,6
4650,104
4660,106
4670,112
4680,112
4690,112
4700,120
4710,128
4720,124
4730,114
4740,108
4750,108
4760,106
4770,98
4780,102
4790,112
4800,106
4810,100
4820,108
4830,110
4840,100
4850,98
4860,102
4870,96
4880,86
4890,76
4900,66
4910,56
4920,46
4930,36
4940,32
4950,42
4960,46
4970,44
4980,40
4990,42
5000,40
5010,40
5020,40
5030,42
5040,42
5050,32
5060,22
5070,12
5080,2
5090,96
5100,98
5110,104
5120,110
5130,104
5140,98
5150,88
5160,84
5170,78
5180,78
5190,74
5200,84
5210,90
5220,90
5230,88
5240,92
5250,102
5260,110
5270,116
5280,112
5290,116
5300,114
5310,112
5320,106
5330,106
5340,98
5350,88
5360,84
5370,94
5380,98
5390,92
5400,102
5410,94
5420,88
5430,78
5440,74
5450,80
5460,90
5470,88
5480,90
5490,100
5500,94
5510,84
5520,78
5530,70
5540,72
5550,82
5560,82
5570,78
5580,74
5590,84
5600,88
5610,82
5620,74
5630,80
5640,88
5650,94
5660,100
5670,110
5680,116
5690,120
5700,128
5710,126
5720,122
5730,114
5740,108
5750,118
5760,128
5770,122
5780,114
5790,108
5800,112
5810,106
5820,96
5830,100
5840,92
5850,92
5860,102
5870,110
5880,110
5890,108
5900,102
5910,100
5920,94
5930,98
5940,108
5950,118
5960,126
5970,134
5980,128
5990,122
6000,116
6010,118
6020,118
6030,124
6040,132
6050,130
6060,136
6070,138
6080,142
6090,138
6100,142
6110,152
6120,152
6130,154
6140,146
6150,136
6160,126
6170,116
6180,112
6190,112
6200,114
6210,116
6220,122
6230,132
6240,142
6250,138
6260,148
6270,156
6280,164
6290,164
6300,170
6310,178
6320,188
6330,192
6340,192
6350,182
6360,172
6370,162
6380,162
6390,164
6400,170
6410,176
6420,180
6430,188
6440,198
6450,202
6460,208
6470,212
6480,208
6490,198
6500,204
6510,208
6520,216
6530,224
6540,232
6550,228
6560,230
6570,230
6580,232
6590,240
6600,242
6610,234
6620,224
6630,220
6640,226
6650,236
6660,230
6670,220
6680,210
6690,200
6700,192
6710,190
6720,196
6730,198
6740,202
6750,192
6760,188
6770,186
6780,184
6790,180
6800,184
6810,194
6820,202
6830,200
